2025-06-19 20:17:56;warningsystem:MODERATE
2025-06-19 20:18:07;temperature:24.80
2025-06-19 20:18:09;humidity:42.00
2025-06-19 20:18:11;warningsystem:MODERATE
2025-06-19 20:18:23;temperature:24.80
2025-06-19 20:18:24;humidity:42.00
2025-06-19 20:18:26;warningsystem:MODERATE
2025-06-19 20:18:37;temperature:24.80
2025-06-19 20:18:39;humidity:43.00
2025-06-19 20:18:41;warningsystem:MODERATE
2025-06-19 20:18:52;temperature:24.80
2025-06-19 20:18:54;humidity:43.00
2025-06-19 20:18:55;warningsystem:MODERATE
2025-06-19 20:19:07;temperature:24.50
2025-06-19 20:19:09;humidity:42.00
2025-06-19 20:19:11;warningsystem:MODERATE
2025-06-19 20:19:23;temperature:24.50
2025-06-19 20:19:24;humidity:42.00
2025-06-19 20:19:26;warningsystem:MODERATE
2025-06-19 20:19:37;temperature:24.50
2025-06-19 20:19:39;humidity:43.00
2025-06-19 20:19:41;warningsystem:MODERATE
2025-06-19 20:19:53;temperature:24.50
2025-06-19 20:19:54;humidity:43.00
2025-06-19 20:19:56;warningsystem:MODERATE
2025-06-19 20:20:08;temperature:24.50
2025-06-19 20:20:10;humidity:43.00
2025-06-19 20:20:11;warningsystem:MODERATE
2025-06-19 20:20:23;temperature:24.50
2025-06-19 20:20:25;humidity:43.00
2025-06-19 20:20:26;warningsystem:MODERATE
2025-06-19 20:20:38;temperature:24.50
2025-06-19 20:20:40;humidity:43.00
2025-06-19 20:20:42;warningsystem:MODERATE
2025-06-19 20:20:54;temperature:24.50
2025-06-19 20:20:55;humidity:43.00
2025-06-19 20:20:57;warningsystem:MODERATE
2025-06-19 20:21:09;temperature:24.50
2025-06-19 20:21:11;humidity:43.00
2025-06-19 20:21:13;warningsystem:MODERATE
2025-06-19 20:21:24;temperature:24.50
2025-06-19 20:21:26;humidity:43.00
2025-06-19 20:21:27;warningsystem:MODERATE
2025-06-19 20:21:39;temperature:24.50
2025-06-19 20:21:41;humidity:43.00
2025-06-19 20:21:42;warningsystem:MODERATE
2025-06-19 20:21:54;temperature:24.50
2025-06-19 20:21:56;humidity:43.00
2025-06-19 20:21:57;warningsystem:MODERATE
2025-06-19 20:22:09;temperature:24.50
2025-06-19 20:22:11;humidity:43.00
2025-06-19 20:22:12;warningsystem:MODERATE
2025-06-19 20:22:24;temperature:24.50
2025-06-19 20:22:25;humidity:43.00
2025-06-19 20:22:27;warningsystem:MODERATE
2025-06-19 20:22:39;temperature:24.50
2025-06-19 20:22:41;humidity:43.00
2025-06-19 20:22:43;warningsystem:MODERATE
2025-06-19 20:22:54;temperature:24.50
2025-06-19 20:22:56;humidity:43.00
2025-06-19 20:22:58;warningsystem:MODERATE
2025-06-19 20:23:10;temperature:24.50
2025-06-19 20:23:12;humidity:43.00
2025-06-19 20:23:13;warningsystem:MODERATE
2025-06-19 20:23:25;temperature:24.50
2025-06-19 20:35:12;temperature:24.80
2025-06-19 20:35:14;humidity:43.00
2025-06-19 20:35:16;warningsystem:MODERATE
2025-06-19 20:35:34;temperature:24.50
2025-06-19 20:35:36;humidity:42.00
2025-06-19 20:35:38;warningsystem:MODERATE
2025-06-19 20:35:50;temperature:24.50
2025-06-19 20:35:51;humidity:42.00
2025-06-19 20:35:53;warningsystem:MODERATE
2025-06-19 20:36:04;temperature:24.50
2025-06-19 20:36:06;humidity:42.00
2025-06-19 20:36:08;warningsystem:MODERATE
2025-06-19 20:36:19;temperature:24.50
2025-06-19 20:36:21;humidity:42.00
2025-06-19 20:36:22;warningsystem:MODERATE
2025-06-19 20:36:34;temperature:24.50
2025-06-19 20:36:36;humidity:43.00
2025-06-19 20:36:37;warningsystem:MODERATE
2025-06-19 20:36:49;temperature:24.50
2025-06-19 20:36:51;humidity:43.00
2025-06-19 20:36:52;warningsystem:MODERATE
2025-06-19 20:37:04;temperature:24.50
2025-06-19 20:37:06;humidity:43.00
2025-06-19 20:37:07;warningsystem:MODERATE
2025-06-19 20:37:19;temperature:24.50
2025-06-19 20:37:21;humidity:43.00
2025-06-19 20:37:22;warningsystem:MODERATE
2025-06-19 20:37:34;temperature:24.50
2025-06-19 20:37:36;humidity:42.00
2025-06-19 20:37:38;warningsystem:MODERATE
2025-06-19 20:37:50;temperature:24.50
2025-06-19 20:37:51;humidity:42.00
2025-06-19 20:37:53;warningsystem:MODERATE
2025-06-19 20:38:05;temperature:24.50
2025-06-19 20:38:07;humidity:42.00
2025-06-19 20:38:09;warningsystem:MODERATE
2025-06-19 20:38:20;temperature:24.50
2025-06-19 20:38:22;humidity:42.00
2025-06-19 20:38:24;warningsystem:MODERATE
2025-06-19 20:38:35;temperature:24.50
2025-06-19 20:38:36;humidity:42.00
2025-06-19 20:38:38;warningsystem:MODERATE
2025-06-19 20:38:50;temperature:24.50
2025-06-19 20:38:51;humidity:42.00
2025-06-19 20:38:53;warningsystem:MODERATE
2025-06-19 20:39:04;temperature:24.50
2025-06-19 20:39:06;humidity:42.00
2025-06-19 20:39:08;warningsystem:MODERATE
2025-06-19 20:39:19;temperature:24.50
2025-06-19 20:39:21;humidity:42.00
2025-06-19 20:39:23;warningsystem:MODERATE
2025-06-19 20:39:35;temperature:24.50
2025-06-19 20:39:37;humidity:42.00
2025-06-19 20:39:38;warningsystem:MODERATE
2025-06-19 20:39:50;temperature:24.50
2025-06-19 20:39:52;humidity:42.00
2025-06-19 20:39:54;warningsystem:MODERATE
2025-06-19 20:40:05;temperature:24.50
2025-06-19 20:40:07;humidity:42.00
2025-06-19 20:40:09;warningsystem:MODERATE
2025-06-19 20:40:21;temperature:24.50
2025-06-19 20:40:22;humidity:42.00
2025-06-19 20:40:24;warningsystem:MODERATE
2025-06-19 20:40:35;temperature:24.50
2025-06-19 20:40:37;humidity:42.00
2025-06-19 20:40:39;warningsystem:MODERATE
2025-06-19 20:40:50;temperature:24.50
2025-06-19 20:40:52;humidity:42.00
2025-06-19 20:40:54;warningsystem:MODERATE
2025-06-19 20:41:06;temperature:24.50
2025-06-19 20:41:07;humidity:42.00
2025-06-19 20:41:09;warningsystem:MODERATE
